"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","stimulus","response","phase","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","question_order","talk_out_loud","strategy_free_ans","judgment_type","stim_1","stim_2","inverted","answer","true_neg","correct","true_pos","false_pos","false_neg","condition","operation","color_cue","trial_no","symbol_cue","wait_time","image_1","image_2","cor_key","type"
"","","","","","html-keyboard-response","23","799362","0.0-6.0-0.6","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">plea</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1></div>","null","experiment","plea","row","board","sleigh","friend","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","24","860887","0.0-6.0-1.6","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","61520.700000047684","phon_sim","","{""position_1"":""plea"",""position_2"":""row"",""position_3"":""board"",""position_4"":""sleigh"",""position_5"":""friend""}","experiment","","","","","","","plea","row","board","sleigh","friend","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","873897","0.0-6.0-0.7","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1></div>","null","experiment","sleigh","friend","board","plea","row","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","26","940765","0.0-6.0-1.7","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","66864.60000002384","phon_sim","","{""position_1"":""sleigh"",""position_2"":""friend"",""position_3"":""board"",""position_4"":""plea"",""position_5"":""row""}","experiment","","","","","","","sleigh","friend","board","plea","row","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","953775","0.0-6.0-0.8","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">board</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1></div>","null","experiment","board","sleigh","row","friend","plea","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","28","1020277","0.0-6.0-1.8","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","66498.10000002384","phon_sim","","{""position_1"":""board"",""position_2"":""sleigh"",""position_3"":""row"",""position_4"":""friend"",""position_5"":""plea""}","experiment","","","","","","","board","sleigh","row","friend","plea","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","1033284","0.0-6.0-0.9","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">sort</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">wart</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1></div>","null","experiment","sort","bought","wart","taut","caught","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","30","1094960","0.0-6.0-1.9","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","61673","phon_sim","","{""position_1"":""sort"",""position_2"":""bought"",""position_3"":""caught"",""position_4"":""taut"",""position_5"":""""}","experiment","","","","","","","sort","bought","caught","taut","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","1107963","0.0-6.0-0.10","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">bought</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">wart</h1></div>","null","experiment","bought","taut","caught","sort","wart","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","32","1158534","0.0-6.0-1.10","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","50567.19999998808","phon_sim","","{""position_1"":""bought"",""position_2"":""taught"",""position_3"":""caught"",""position_4"":""wort"",""position_5"":""sort""}","experiment","","","","","","","bought","taught","caught","wort","sort","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","1171547","0.0-6.0-0.11","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">cough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1></div>","null","experiment","cough","bough","rough","through","dough","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","34","1246737","0.0-6.0-1.11","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","75186.09999996424","phon_sim","","{""position_1"":""cough"",""position_2"":""bough"",""position_3"":""wart"",""position_4"":""through"",""position_5"":""dough""}","experiment","","","","","","","cough","bough","wart","through","dough","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","1259750","0.0-6.0-0.12","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">rough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">cough</h1></div>","null","experiment","rough","bough","dough","through","cough","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","36","1333599","0.0-6.0-1.12","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","73846","phon_sim","","{""position_1"":""bough"",""position_2"":""dough"",""position_3"":""through"",""position_4"":""cough"",""position_5"":""taut""}","experiment","","","","","","","bough","dough","through","cough","taut","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","1346620","0.0-6.0-0.13","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">bough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">cough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1></div>","null","experiment","bough","cough","rough","through","dough","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","38","1407291","0.0-6.0-1.13","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","60667.799999952316","phon_sim","","{""position_1"":""bough"",""position_2"":""cough"",""position_3"":""rough"",""position_4"":""through"",""position_5"":""dough""}","experiment","","","","","","","bough","cough","rough","through","dough","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","1420305","0.0-6.0-0.14","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">rough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">cough</h1></div>","null","experiment","rough","through","bough","dough","cough","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","40","1464252","0.0-6.0-1.14","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","43944.39999997616","phon_sim","","{""position_1"":""rough"",""position_2"":""bough"",""position_3"":""through"",""position_4"":""dough"",""position_5"":""cough""}","experiment","","","","","","","rough","bough","through","dough","cough","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","1477262","0.0-6.0-0.15","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">sort</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">wart</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1></div>","null","experiment","sort","wart","taut","bought","caught","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","42","1521249","0.0-6.0-1.15","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","43982.89999997616","phon_sim","","{""position_1"":""sort"",""position_2"":""wart"",""position_3"":""taut"",""position_4"":""bought"",""position_5"":""caught""}","experiment","","","","","","","sort","wart","taut","bought","caught","","","","","","","","","","","","","","","","","","","","","","",""
