"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","stimulus","response","phase","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","question_order","talk_out_loud","strategy_free_ans","condition","answer","correct","operation","color_cue","trial_no","symbol_cue","wait_time","image_1","image_2","cor_key","type","judgment_type","stim_1","stim_2","inverted","true_neg","true_pos","false_pos","false_neg"
"","","","","","html-keyboard-response","19","1613776","0.0-6.0-0.4","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">bought</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">wart</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1></div>","null","experiment","bought","caught","wart","sort","taut","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","20","1673935","0.0-6.0-1.4","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","60148.700000047684","phon_sim","","{""position_1"":""bought"",""position_2"":""caught"",""position_3"":""wart"",""position_4"":""sort"",""position_5"":""taut""}","experiment","","","","","","","bought","caught","wart","sort","taut","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","1686943","0.0-6.0-0.5","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">through</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">cough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1></div>","null","experiment","through","cough","rough","dough","bough","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","22","1924670","0.0-6.0-1.5","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","237718.79999995232","phon_sim","","{""position_1"":""through"",""position_2"":""cough"",""position_3"":""rough"",""position_4"":""dough"",""position_5"":""bough""}","experiment","","","","","","","through","cough","rough","dough","bough","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","1937689","0.0-6.0-0.6","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">board</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1></div>","null","experiment","board","sleigh","friend","row","plea","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","24","1991573","0.0-6.0-1.6","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","53879.800000071526","phon_sim","","{""position_1"":"""",""position_2"":"""",""position_3"":""friend"",""position_4"":""row"",""position_5"":""plea""}","experiment","","","","","","","","","friend","row","plea","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","2004576","0.0-6.0-0.7","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">bought</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">wart</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1></div>","null","experiment","bought","wart","sort","caught","taut","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","26","2084612","0.0-6.0-1.7","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","80031.10000002384","phon_sim","","{""position_1"":""bought"",""position_2"":""wart"",""position_3"":""sort"",""position_4"":""caught"",""position_5"":""taut""}","experiment","","","","","","","bought","wart","sort","caught","taut","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","2097617","0.0-6.0-0.8","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">cough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1></div>","null","experiment","cough","bough","through","rough","dough","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","28","2153076","0.0-6.0-1.8","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","55449.60000002384","phon_sim","","{""position_1"":""cough"",""position_2"":""bough"",""position_3"":""through"",""position_4"":""rough"",""position_5"":""dough""}","experiment","","","","","","","cough","bough","through","rough","dough","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","2166095","0.0-6.0-0.9","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">bough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">cough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1></div>","null","experiment","bough","cough","dough","rough","through","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","30","2239156","0.0-6.0-1.9","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","73052.89999997616","phon_sim","","{""position_1"":""bough"",""position_2"":""cough"",""position_3"":""dough"",""position_4"":""rough"",""position_5"":""through""}","experiment","","","","","","","bough","cough","dough","rough","through","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","2252163","0.0-6.0-0.10","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">cough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1></div>","null","experiment","cough","bough","through","rough","dough","orthoSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","32","2317107","0.0-6.0-1.10","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","64932.5","phon_sim","","{""position_1"":""cough"",""position_2"":""bough"",""position_3"":""through"",""position_4"":""rough"",""position_5"":""dough""}","experiment","","","","","","","cough","bough","through","rough","dough","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","2330122","0.0-6.0-0.11","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">sort</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">wart</h1></div>","null","experiment","sort","caught","taut","bought","wart","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","34","2409890","0.0-6.0-1.11","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","79762.80000007153","phon_sim","","{""position_1"":""sort"",""position_2"":""caught"",""position_3"":""taut"",""position_4"":""bought"",""position_5"":""wart""}","experiment","","","","","","","sort","caught","taut","bought","wart","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","2422900","0.0-6.0-0.12","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">friend</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1></div>","null","experiment","friend","sleigh","row","plea","board","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","36","2700272","0.0-6.0-1.12","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","277361.39999997616","phon_sim","","{""position_1"":""friend"",""position_2"":""sleigh"",""position_3"":""row"",""position_4"":""plea"",""position_5"":""board""}","experiment","","","","","","","friend","sleigh","row","plea","board","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","2713292","0.0-6.0-0.13","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">wart</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1></div>","null","experiment","wart","taut","bought","caught","sort","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","38","2804407","0.0-6.0-1.13","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","91109.70000004768","phon_sim","","{""position_1"":""wart"",""position_2"":""taut"",""position_3"":""bought"",""position_4"":""caught"",""position_5"":""sort""}","experiment","","","","","","","wart","taut","bought","caught","sort","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","2817418","0.0-6.0-0.14","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">row</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1></div>","null","experiment","row","board","friend","plea","sleigh","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","40","3110509","0.0-6.0-1.14","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","293085.90000009537","phon_sim","","{""position_1"":""row"",""position_2"":""board"",""position_3"":""friend"",""position_4"":""plea"",""position_5"":""slings""}","experiment","","","","","","","row","board","friend","plea","slings","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","3123513","0.0-6.0-0.15","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">wart</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1></div>","null","experiment","wart","taut","caught","sort","bought","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","42","3242627","0.0-6.0-1.15","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","119105.5","phon_sim","","{""position_1"":""wart"",""position_2"":""sort"",""position_3"":""caught"",""position_4"":""sort"",""position_5"":""bought""}","experiment","","","","","","","wart","sort","caught","sort","bought","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","43","3255643","0.0-6.0-0.16","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">wart</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1></div>","null","experiment","wart","bought","taut","sort","caught","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","44","3331866","0.0-6.0-1.16","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","76213.89999997616","phon_sim","","{""position_1"":""wart"",""position_2"":""bought"",""position_3"":""taut"",""position_4"":""sort"",""position_5"":""caught""}","experiment","","","","","","","wart","bought","taut","sort","caught","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","45","3344870","0.0-6.0-0.17","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">plea</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1></div>","null","experiment","plea","friend","sleigh","board","row","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","46","3405787","0.0-6.0-1.17","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","60905.700000047684","phon_sim","","{""position_1"":""plea"",""position_2"":""friend"",""position_3"":""sleigh"",""position_4"":""board"",""position_5"":""row""}","experiment","","","","","","","plea","friend","sleigh","board","row","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","47","3418792","0.0-6.0-0.18","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">bought</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">wart</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1></div>","null","experiment","bought","sort","taut","wart","caught","phonSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","48","3486155","0.0-6.0-1.18","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","67353.69999992847","phon_sim","","{""position_1"":""bought"",""position_2"":""sort"",""position_3"":""taut"",""position_4"":""wart"",""position_5"":""caught""}","experiment","","","","","","","bought","sort","taut","wart","caught","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","49","3499165","0.0-6.0-0.19","A1KOBLL83SICGQ","2022-05-27T16:17:54.437Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">row</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1></div>","null","experiment","row","plea","friend","board","sleigh","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
