"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","response","phase","stimulus","condition","answer","correct","operation","color_cue","trial_no","symbol_cue","question_order","talk_out_loud","strategy_free_ans","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","judgment_type","stim_1","stim_2","inverted","true_pos","true_neg","wait_time","image_1","image_2","cor_key","type"
"","","","","","html-keyboard-response","14","113111","0.0-14.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","15","114574","0.0-15.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1460.7999999523163","task_switching","{""addition_ans"":""88""}","training","85","addition","88","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","115590","0.0-16.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","17","117051","0.0-17.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1458.6000000238419","task_switching","{""addition_ans"":""96""}","training","93","addition","96","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","118054","0.0-18.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","19","119490","0.0-19.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1435.1000000238419","task_switching","{""addition_ans"":""19""}","training","16","addition","19","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","120506","0.0-20.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","21","124297","0.0-21.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","3789.100000023842","task_switching","{""addition_ans"":""72""}","training","69","addition","72","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","125313","0.0-22.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","23","128254","0.0-23.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","2938.6999999284744","task_switching","{""addition_ans"":""61""}","training","58","addition","61","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","129265","0.0-24.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","25","132802","0.0-25.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","[{""page_index"":0,""viewing_time"":3536.7999999523163}]","3536.899999976158","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","26","134276","0.0-26.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1473.0999999046326","task_switching","{""addition_ans"":""75""}","experiment","72","addition","75","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","27","135565","0.0-27.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1287.2000000476837","task_switching","{""addition_ans"":""19""}","experiment","16","addition","19","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","28","137082","0.0-28.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1515.8999999761581","task_switching","{""addition_ans"":""97""}","experiment","94","addition","97","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","29","140291","0.0-29.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","3207.5999999046326","task_switching","{""addition_ans"":""42""}","experiment","39","addition","42","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","30","142060","0.0-30.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1766.7999999523163","task_switching","{""addition_ans"":""68""}","experiment","65","addition","68","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","31","143674","0.0-31.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1611.3999999761581","task_switching","{""addition_ans"":""86""}","experiment","83","addition","86","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","32","145123","0.0-32.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1446.7999999523163","task_switching","{""addition_ans"":""34""}","experiment","31","addition","34","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","33","146456","0.0-33.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1332.1000000238419","task_switching","{""addition_ans"":""94""}","experiment","91","addition","94","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","34","147743","0.0-34.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1285.2999999523163","task_switching","{""addition_ans"":""23""}","experiment","20","addition","23","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","35","149425","0.0-35.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1681.3999999761581","task_switching","{""addition_ans"":""60""}","experiment","57","addition","60","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","36","150700","0.0-36.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1272.0999999046326","task_switching","{""addition_ans"":""55""}","experiment","52","addition","55","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","37","152017","0.0-37.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1315.3999999761581","task_switching","{""addition_ans"":""67""}","experiment","64","addition","67","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","38","153176","0.0-38.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1158","task_switching","{""addition_ans"":""93""}","experiment","90","addition","93","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","39","154248","0.0-39.0","A12HZGOZQD5YK7","2022-05-31T13:49:12.679Z","task_switching-phon_sim-same_different-rhyme","","1070.2000000476837","task_switching","{""addition_ans"":""53""}","experiment","50","addition","53","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
