"ID";"Visual";"Verbal";"Manipulation";"Orthographic"
"513";513;3.5;3.08333333333333;4.125;2.66666666666667
"514";514;4.5;4.5;4.25;4.16666666666667
"515";515;2.8;2.16666666666667;3.125;2
"516";516;3.4;3.91666666666667;3;2
"517";517;1.6;1.75;1.875;1.33333333333333
"518";518;3.9;3.75;4.75;4.5
"519";519;2.6;3.16666666666667;3.375;3.33333333333333
"520";520;4.4;3.5;4.25;2.66666666666667
"521";521;4;3.91666666666667;3;3.33333333333333
"522";522;4.3;3.66666666666667;4.875;2.83333333333333
"523";523;2.9;3.66666666666667;3.125;2.83333333333333
"524";524;3.5;3.66666666666667;3.375;3.33333333333333
"525";525;3.9;4;2.75;3
"526";526;3.8;4;4.125;3.66666666666667
"527";527;4.3;4.25;4.25;2.83333333333333
"528";528;4;3.5;4.5;1.5
"529";529;3.8;3.25;3.625;3.83333333333333
"530";530;3.7;3.41666666666667;3.875;4.33333333333333
"531";531;4.4;3.91666666666667;3.875;2.33333333333333
"532";532;4.3;3.33333333333333;3.875;1.83333333333333
"533";533;4.4;4.33333333333333;3.125;2.33333333333333
"534";534;3;3.25;3;2.83333333333333
"535";535;4.7;3.75;4;4.66666666666667
"536";536;4.3;4.66666666666667;4.5;4.33333333333333
"537";537;3.9;3.58333333333333;3.375;2.33333333333333
"538";538;4.3;4.16666666666667;3.875;3.83333333333333
"539";539;3.4;2.91666666666667;2.5;2.33333333333333
"540";540;4.6;4.75;4.625;4.66666666666667
"541";541;4.3;3.91666666666667;4.625;2.33333333333333
"542";542;3.6;4.33333333333333;3.5;1.83333333333333
"543";543;4.1;3.25;4.5;1.66666666666667
"544";544;4.3;4.16666666666667;4.25;2.66666666666667
"545";545;3.8;3.83333333333333;2.875;3.16666666666667
"546";546;2.8;4.41666666666667;4.25;2.16666666666667
"547";547;3.8;3.66666666666667;3.875;2
"548";548;4.4;3.58333333333333;3.25;3
"549";549;3.9;4.25;3.5;2.66666666666667
"550";550;2.5;4.5;3.5;3.16666666666667
"551";551;4.1;3.83333333333333;3.375;2.33333333333333
"552";552;4.3;4.58333333333333;4;3.83333333333333
"553";553;3.7;3.41666666666667;3.875;3.83333333333333
"554";554;4.6;4.58333333333333;3.875;4.5
"555";555;3.7;3.16666666666667;3.625;3
"556";556;4.5;4.08333333333333;4.875;4.83333333333333
"557";557;3.3;1.5;1.875;1.5
"558";558;3.6;4.16666666666667;3.875;2.33333333333333
"559";559;3;3.58333333333333;2.375;3
"560";560;3.5;4.25;3.125;1.83333333333333
"561";561;3.8;3.58333333333333;3.875;1.83333333333333
"562";562;1.9;1.08333333333333;3.375;1.66666666666667
"563";563;4.2;4.58333333333333;4.75;4.16666666666667
"564";564;3.9;3.5;4;2
"565";565;4.6;3.25;4;1.16666666666667
"566";566;3.5;4.5;4.625;1.66666666666667
"567";567;2.7;2.08333333333333;2.5;2
"568";568;3.3;3.33333333333333;3.375;3.5
"569";569;2.8;2.41666666666667;3.625;1.5
"570";570;4.1;4.41666666666667;4.5;3.5
"571";571;4.6;4.16666666666667;4.625;4.5
"572";572;3.7;3.66666666666667;4.125;2.66666666666667
"573";573;1.9;3.5;3.125;2.16666666666667
"574";574;3.9;4.5;4.5;2.66666666666667
"575";575;3.9;3.83333333333333;3.75;3.33333333333333
"576";576;4;4.66666666666667;3.625;3.83333333333333
"577";577;3.6;4.16666666666667;3.125;1.66666666666667
"578";578;4.1;4.91666666666667;5;2.5
"579";579;3.2;4.33333333333333;1.625;3.16666666666667
"580";580;3.3;3.83333333333333;3.125;2.5
"581";581;3.4;3.25;2.875;3.33333333333333
"582";582;3.8;3;3.375;2.16666666666667
"583";583;3.2;2.91666666666667;3.25;2.33333333333333
"584";584;4.5;4.41666666666667;4.375;2.33333333333333
"585";585;3.9;4.75;3.25;4.16666666666667
"586";586;4.4;4.33333333333333;5;3.66666666666667
"587";587;3.7;4;3.625;2.33333333333333
"588";588;2.5;3.66666666666667;2.5;2.66666666666667
"589";589;4.1;4.41666666666667;3.625;4
"590";590;3.8;3.66666666666667;3.125;3.5
"591";591;3.5;3.66666666666667;3.75;3.16666666666667
"592";592;3.1;3.91666666666667;1.875;3.16666666666667
"593";593;3.5;4.25;4.125;3.5
"594";594;3.9;4.08333333333333;4.25;2.5
"595";595;4.3;4.66666666666667;4.25;2.33333333333333
"596";596;3.4;3.66666666666667;3.375;3.5
"597";597;4.5;3.58333333333333;4.625;3.16666666666667
"598";598;4.2;3.66666666666667;3.25;2.33333333333333
"599";599;3.5;3.5;3.375;2.66666666666667
"600";600;4.2;3.91666666666667;3.625;2.66666666666667
