"","event","trial","time","participant"
"41","blur",608,723209,"A2SKY4RRWII0BF"
"42","focus",608,728058,"A2SKY4RRWII0BF"
"43","blur",1077,2070451,"A2SKY4RRWII0BF"
"44","focus",1077,2095342,"A2SKY4RRWII0BF"
"45","fullscreenenter",2,15769,"AJF954955YWZG"
"46","focus",1,9391,"AMNUNZ65OSTFO"
"47","blur",1,9396,"AMNUNZ65OSTFO"
"48","focus",1,29376,"AMNUNZ65OSTFO"
"49","fullscreenenter",2,37129,"AMNUNZ65OSTFO"
"50","fullscreenenter",2,7879,"A15T9HDPHV3X7Q"
"51","focus",0,7711,"A1BM57TUNAQIXM"
"52","blur",1,8876,"A1BM57TUNAQIXM"
"53","focus",1,11873,"A1BM57TUNAQIXM"
"54","blur",1,18798,"A1BM57TUNAQIXM"
"55","focus",1,411935,"A1BM57TUNAQIXM"
"56","fullscreenenter",2,414534,"A1BM57TUNAQIXM"
"57","blur",671,1914983,"A1BM57TUNAQIXM"
"58","focus",671,1923825,"A1BM57TUNAQIXM"
"59","blur",1,17299,"A1DUPOUC9RNU4L"
"60","focus",1,295811,"A1DUPOUC9RNU4L"
"61","blur",1,297388,"A1DUPOUC9RNU4L"
"62","focus",1,1013883,"A1DUPOUC9RNU4L"
"63","fullscreenenter",2,1241492,"A1DUPOUC9RNU4L"
"64","fullscreenexit",1247,5018955,"A1DUPOUC9RNU4L"
"65","blur",1247,5021629,"A1DUPOUC9RNU4L"
"66","focus",1247,5222331,"A1DUPOUC9RNU4L"
"67","blur",0,728,"A1M64R8HPYNNZA"
"68","focus",1,7246,"A1M64R8HPYNNZA"
"69","blur",2,215390,"A1M64R8HPYNNZA"
"70","focus",2,240807,"A1M64R8HPYNNZA"
"71","fullscreenenter",2,243726,"A1M64R8HPYNNZA"
"72","fullscreenexit",239,973727,"A1M64R8HPYNNZA"
"73","blur",239,975589,"A1M64R8HPYNNZA"
"74","focus",239,1000872,"A1M64R8HPYNNZA"
"75","blur",239,1002542,"A1M64R8HPYNNZA"
"76","focus",239,1045922,"A1M64R8HPYNNZA"
"77","blur",813,1562055,"A1M64R8HPYNNZA"
"78","focus",813,1564712,"A1M64R8HPYNNZA"
"79","blur",918,1967602,"A1M64R8HPYNNZA"
"80","focus",918,2052356,"A1M64R8HPYNNZA"
"81","blur",970,2211944,"A1M64R8HPYNNZA"
"82","focus",970,2221193,"A1M64R8HPYNNZA"
"83","blur",1054,2516467,"A1M64R8HPYNNZA"
"84","focus",1054,2530157,"A1M64R8HPYNNZA"
"85","blur",1077,2887791,"A1M64R8HPYNNZA"
"86","focus",1077,2894406,"A1M64R8HPYNNZA"
"87","blur",1126,3568279,"A1M64R8HPYNNZA"
"88","focus",1126,3570824,"A1M64R8HPYNNZA"
"89","blur",1129,3615852,"A1M64R8HPYNNZA"
"90","focus",1130,3619040,"A1M64R8HPYNNZA"
"91","blur",1308,4008394,"A1M64R8HPYNNZA"
"92","focus",1308,4010293,"A1M64R8HPYNNZA"
"93","focus",0,1336,"A1O4Q0QVPVBF8M"
"94","fullscreenenter",2,20970,"A1O4Q0QVPVBF8M"
"95","blur",322,1691882,"A1O4Q0QVPVBF8M"
"96","focus",322,1693544,"A1O4Q0QVPVBF8M"
"97","focus",1,24287,"A26UIS59SY4NM6"
"98","fullscreenenter",2,26986,"A26UIS59SY4NM6"
"99","fullscreenexit",3,49926,"A26UIS59SY4NM6"
"100","blur",3,53321,"A26UIS59SY4NM6"
"101","focus",3,78425,"A26UIS59SY4NM6"
"102","blur",409,777719,"A26UIS59SY4NM6"
"103","focus",409,788903,"A26UIS59SY4NM6"
"104","blur",417,822307,"A26UIS59SY4NM6"
"105","focus",418,824496,"A26UIS59SY4NM6"
"106","blur",462,958967,"A26UIS59SY4NM6"
"107","focus",462,979001,"A26UIS59SY4NM6"
"108","blur",505,1514804,"A26UIS59SY4NM6"
"109","focus",505,1526970,"A26UIS59SY4NM6"
"110","blur",512,1611876,"A26UIS59SY4NM6"
"111","focus",513,1619566,"A26UIS59SY4NM6"
"112","fullscreenenter",2,24146,"A2H2LO1OOF8R5N"
"113","fullscreenenter",2,35996,"A2MOKIEQZ0OF2M"
"114","fullscreenenter",2,27839,"A2WDF40FA670T9"
"115","fullscreenenter",2,31169,"A2WJMGV0HKQG3Z"
"116","fullscreenenter",2,16688,"A2YB18JHC2C7GF"
"117","blur",1,3962,"A304UJAE051J89"
"118","focus",1,21097,"A304UJAE051J89"
"119","blur",1,21732,"A304UJAE051J89"
"120","focus",1,51874,"A304UJAE051J89"
"121","blur",2,56864,"A304UJAE051J89"
"122","focus",2,154191,"A304UJAE051J89"
"123","blur",2,154738,"A304UJAE051J89"
"124","focus",2,256856,"A304UJAE051J89"
"125","blur",2,257891,"A304UJAE051J89"
"126","focus",2,283210,"A304UJAE051J89"
"127","blur",2,283843,"A304UJAE051J89"
"128","focus",2,295877,"A304UJAE051J89"
