"","event","trial","time","participant"
"1043","focus",1077,3651551,"79058"
"1044","blur",1077,4121024,"79058"
"1045","focus",1077,4330327,"79058"
"1046","blur",2,67283,"79437"
"1047","focus",2,67284,"79437"
"1048","blur",2,67285,"79437"
"1049","fullscreenenter",2,67297,"79437"
"1050","focus",2,67531,"79437"
"1051","fullscreenexit",811,810524,"79437"
"1052","fullscreenenter",2,5118,"78010"
"1053","blur",1021,1311096,"78010"
"1054","focus",1021,1312633,"78010"
"1055","fullscreenexit",1074,2219952,"78010"
"1056","fullscreenenter",2,10275,"78422"
"1057","blur",9,57075,"78422"
"1058","focus",9,57150,"78422"
"1059","fullscreenenter",2,17608,"78938"
"1060","fullscreenenter",2,11418,"79058"
"1061","blur",77,225858,"79058"
"1062","focus",77,284147,"79058"
"1063","blur",267,801765,"79058"
"1064","focus",267,2069123,"79058"
"1065","fullscreenexit",267,2090709,"79058"
"1066","blur",267,2092188,"79058"
"1067","focus",267,2156857,"79058"
"1068","blur",872,3282555,"79058"
"1069","focus",872,3283679,"79058"
"1070","blur",1077,3640100,"79058"
"1071","focus",1077,3651551,"79058"
"1072","blur",1077,4121024,"79058"
"1073","focus",1077,4330327,"79058"
"1074","blur",2,22629,"79390"
"1075","focus",2,23838,"79390"
"1076","fullscreenenter",2,25471,"79390"
"1077","blur",1128,2581849,"79390"
"1078","focus",1128,3817169,"79390"
"1079","blur",1128,3819366,"79390"
"1080","focus",1128,3869367,"79390"
"1081","fullscreenenter",2,6005,"79171"
"1082","focus",0,596,"80016"
"1083","fullscreenenter",2,11143,"80016"
"1084","blur",1136,2482004,"80016"
"1085","focus",1136,2482844,"80016"
